(kW),12:00 AM,1:00 AM,2:00 AM,3:00 AM,4:00 AM,5:00 AM,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM
3/11/2019,136.9743,136.023,136.1917,139.7856,136.7006,137.9385,135.8459,136.6202,128.3508,128.5024,121.7975,122.6182,129.5864,136.0096,126.8899,132.9972,142.8185,143.6738,134.4306,137.9346,134.8772,139.9875,143.7406,142.605
3/12/2019,135.272,130.9627,126.904,132.9808,127.1837,137.4783,139.6716,138.1668,126.864,130.322,130.5744,123.7925,123.2008,136.8374,129.0847,139.0014,140.6937,138.2153,146.7117,141.6888,147.367,138.8895,147.8324,143.8394
3/13/2019,147.8856,146.2698,133.354,143.812,142.1735,137.7597,136.832,144.1192,139.0508,137.1151,127.6114,125.8706,133.3044,130.4336,135.7564,130.0874,136.5604,145.8119,145.8598,143.5729,141.9431,null,null,null
3/14/2019,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
3/15/2019,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
3/16/2019,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
3/17/2019,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
3/18/2019,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,144.4345,159.6862,153.8704,155.5106
3/19/2019,152.239,143.1552,149.0252,143.2266,152.6145,147.4305,144.6322,147.4034,141.7225,130.4643,131.0454,129.1908,128.4733,143.994,151.5597,154.1282,148.1253,167.9068,150.6392,158.5735,157.0619,160.37,158.7177,148.3493
3/20/2019,152.1245,153.2264,154.2265,150.7192,152.0796,151.5987,140.8312,147.6746,144.4097,128.939,130.0934,139.742,128.9406,146.9062,146.4263,151.3201,155.8559,144.22,144.1272,151.8138,160.1804,158.1994,156.1997,151.2611
3/21/2019,162.046,157.6187,151.3662,152.5031,151.849,144.5683,149.4252,140.4082,136.3773,136.9888,137.1486,131.9097,134.1982,134.9262,135.8855,144.5901,143.112,138.8202,138.4828,142.0588,145.212,142.4469,142.4974,142.6729
3/22/2019,139.7561,140.4308,142.3696,139.7563,143.0826,144.7666,140.1965,141.3033,140.3234,135.2779,133.3692,137.7578,122.8443,130.6638,143.1783,147.4779,156.4484,152.3361,150.7458,145.2693,146.3422,149.3453,141.8139,145.4398
3/23/2019,146.9322,147.6693,142.9036,146.2696,144.0127,136.7032,139.8491,144.8793,135.5879,128.0974,133.3766,135.9457,136.4572,141.811,143.1582,139.6341,141.5535,138.9289,151.2759,148.8674,150.1051,150.2431,149.9899,153.7134
3/24/2019,144.6762,150.7986,150.4554,143.7948,145.0996,146.4172,144.4567,142.6458,137.8264,128.0379,136.5625,136.5687,134.8176,145.6621,146.8444,138.6945,141.9124,140.5689,138.8929,152.2657,143.4121,145.6976,143.8172,146.3476
3/25/2019,148.5082,145.4128,142.1108,140.5691,144.0031,142.7168,142.664,142.608,137.6856,126.7946,122.1872,128.2692,121.5354,137.9416,135.2784,133.7003,137.1594,132.936,139.1598,145.1348,132.392,137.8842,137.7634,134.7797
3/26/2019,146.8924,138.5061,143.4776,135.998,146.3224,147.1122,144.9945,138.6391,127.3979,127.697,125.4325,131.21,123.8059,136.019,131.4415,139.2336,130.4699,136.4269,145.5233,136.0866,137.8016,147.1233,137.8193,137.3229
3/27/2019,140.034,138.7923,135.633,134.3817,136.9263,126.9144,137.3514,139.2055,127.1858,124.6972,125.2972,123.3812,124.9482,141.3336,138.2383,141.2418,149.6861,139.6174,144.8954,154.0926,148.6622,140.4093,141.4909,150.0222
3/28/2019,157.4744,152.851,149.1827,150.5918,148.7481,143.5326,143.4993,145.6217,145.1477,136.9432,137.9543,138.2627,135.9014,140.002,145.214,145.4706,140.8533,144.0713,158.5678,156.0262,145.7931,152.5614,154.058,155.2453
3/29/2019,153.4749,152.1704,147.4946,153.0371,143.3933,151.9341,142.2063,144.2093,137.7901,138.1353,133.6924,141.4669,138.8235,147.6365,144.6,143.5323,146.5648,153.1588,155.3564,152.8555,146.2974,149.3565,146.4173,146.5328
3/30/2019,149.8451,139.0159,135.988,142.0743,146.1274,146.2988,134.01,133.2611,135.1542,126.1564,130.0743,129.7072,141.448,146.7737,136.8869,146.2435,142.5774,141.2709,140.8147,148.9943,147.4388,132.7957,150.9358,149.6836
3/31/2019,138.1044,146.1432,136.8853,143.3022,140.3564,142.0731,140.4035,136.9124,133.7355,124.5326,128.5257,125.943,125.9108,143.2112,133.849,141.2785,143.017,137.3909,138.5198,135.907,136.2065,140.7471,142.5396,145.5232
4/1/2019,144.7625,148.5525,149.9832,151.301,143.3207,144.0459,154.984,146.137,140.1994,137.4857,139.1082,139.3678,138.2109,144.9747,146.6433,150.0183,156.2701,157.1967,160.7882,154.2976,153.9039,152.8099,154.3326,153.0013
4/2/2019,151.5236,151.9807,148.1256,146.72,152.1665,150.4022,151.0503,145.1232,154.5558,137.4982,140.0904,143.1472,131.5619,142.4807,147.5637,155.3429,149.9091,161.0048,168.3842,159.5866,156.2272,153.4385,152.3941,145.7687
4/3/2019,151.8312,152.9173,144.1791,143.7772,145.5208,144.3584,136.9659,137.4052,136.154,138.666,128.9969,138.1153,129.9019,144.408,146.489,134.3294,145.7057,155.0113,155.4994,154.7804,161.8641,148.9755,161.0785,164.1058
4/4/2019,150.79,160.6189,152.0889,144.002,141.8991,142.3316,141.9083,135.4957,131.5306,130.8461,129.7623,127.8401,128.7779,136.159,133.895,146.4619,142.9186,142.608,147.3556,142.8433,146.908,147.0406,149.3971,150.3785
4/5/2019,149.7651,147.8535,145.3732,141.4736,143.2839,138.8967,130.3042,131.5952,128.6418,120.1119,128.5726,133.1406,136.3938,129.9779,142.9286,139.4588,141.9787,144.2041,140.7883,142.5757,145.1544,144.6854,151.0595,145.0248
4/6/2019,143.4279,130.5949,138.6174,136.7294,138.3127,139.2876,134.7405,136.2813,130.4616,124.0116,141.577,133.414,134.8387,142.0229,138.4988,142.1456,136.5403,137.811,138.0809,146.07,140.2778,137.9948,131.919,137.4208
4/7/2019,138.9372,139.7086,135.4609,136.4507,137.7762,129.9975,139.6712,130.3906,132.2571,125.228,124.3212,125.734,126.5882,133.2237,129.4227,136.6903,133.6983,127.8906,148.9681,130.9027,140.1473,150.0311,141.2689,143.1609
4/8/2019,143.6731,134.4368,138.9727,140.0163,141.1935,131.6165,136.7799,138.8598,147.076,133.8421,130.9075,130.9982,142.8658,129.0291,130.169,131.5596,136.294,155.9829,144.4222,156.4116,144.2414,146.9382,146.9178,147.1224
4/9/2019,135.563,143.9456,140.8599,140.0065,144.2558,142.5132,140.9621,141.3278,145.5694,141.9177,143.9525,137.4152,135.3992,134.4627,140.2531,145.0835,141.3547,135.651,149.5478,142.4798,141.5563,140.1853,157.3491,153.8533
4/10/2019,153.4622,140.6287,129.8455,136.2159,139.9219,130.9742,131.1223,130.7787,129.8622,125.1121,128.4036,124.1329,136.2118,132.3294,139.0413,135.6295,140.4551,146.7056,141.337,144.372,147.9106,144.3835,152.8295,139.4979
4/11/2019,147.4402,138.0387,137.1686,143.8113,141.06,137.1101,143.8481,139.4574,134.6095,127.9561,125.0754,126.4025,126.0551,138.5605,132.1913,141.5268,142.697,136.913,140.1455,138.724,135.3316,139.7286,140.521,138.7325
