Year,Month,Day,DNI Mean,DNI Max,DNI Min,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temp Max,Temp Min,Temperature,Pressure,Power Consumption,Weekday,University Name,Building Name,Square Feet,Type
2019,7,18,237.86666666666667,710,1,3.1733333333333333,2.5300000000000002,249.53333333333333,70.472,22.0,13.5,19.03666666666667,993.0666666666667,828.0,1,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,7,19,602.0333333333333,939,12,2.713333333333334,1.8866666666666652,235.23333333333332,67.60633333333332,22.6,12.4,18.966666666666665,992.6333333333333,826.0,1,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,7,20,580.5,937,8,2.6366666666666663,1.5966666666666667,242.5,66.40333333333335,22.2,12.7,18.853333333333335,993.9333333333333,865.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,7,21,481.9,917,16,2.5033333333333325,1.9300000000000002,254.93333333333334,61.913666666666664,23.1,11.7,19.40666666666667,993.6333333333333,868.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,7,22,715.5666666666667,938,15,2.4866666666666664,1.7033333333333336,252.13333333333333,53.79966666666665,26.1,12.7,21.34333333333333,994.2,869.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,7,23,710.2,937,19,3.3833333333333324,1.9266666666666665,270.06666666666666,60.38433333333335,23.9,13.3,20.33,995.7333333333333,866.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,7,24,750.9,960,17,2.1566666666666663,1.41,270.6666666666667,43.53933333333332,28.2,13.0,23.18,994.9333333333333,861.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,7,25,586.6,865,7,2.8066666666666666,2.3333333333333335,257.43333333333334,48.77333333333333,25.8,14.8,21.186666666666667,993.7333333333333,824.0,1,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,7,26,439.9655172413793,942,9,2.7793103448275867,1.5448275862068959,258.9310344827586,59.732413793103454,24.1,13.7,20.13448275862069,996.6206896551724,825.0,1,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,7,27,732.0,943,196,1.5392857142857144,1.1357142857142857,257.92857142857144,44.62357142857143,29.4,13.6,24.28214285714285,995.8928571428571,868.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,7,28,748.3214285714286,938,164,2.689285714285714,1.4321428571428572,262.7142857142857,50.57964285714286,27.7,15.6,23.41785714285714,993.1428571428571,868.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,7,29,678.5,949,83,4.457142857142857,1.239285714285714,271.42857142857144,69.18642857142858,21.3,13.6,18.732142857142854,993.4642857142857,866.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,7,30,629.9285714285714,949,14,3.9249999999999985,1.242857142857143,267.89285714285717,67.24857142857142,21.0,12.9,18.18928571428571,994.3214285714286,869.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,7,31,686.7857142857143,958,20,2.342857142857143,1.1214285714285714,242.60714285714286,59.10857142857144,24.5,12.7,20.310714285714287,994.4642857142857,867.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,8,1,518.5,929,14,3.5571428571428574,1.5714285714285712,261.64285714285717,69.69999999999999,21.4,13.7,18.99642857142857,996.5,826.0,1,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,8,2,758.5357142857143,955,168,2.832142857142857,1.4285714285714275,272.32142857142856,61.75107142857142,25.2,14.0,21.26071428571429,997.0357142857143,828.0,1,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,8,3,760.1071428571429,945,136,2.2500000000000004,1.3678571428571424,255.46428571428572,55.42642857142856,27.0,14.4,22.389285714285712,993.5357142857143,872.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,8,4,695.1071428571429,954,38,3.275,1.5642857142857143,263.2857142857143,66.36607142857143,24.7,14.4,21.05714285714286,994.5357142857143,873.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,8,5,248.60714285714286,827,4,2.621428571428571,1.339285714285714,259.10714285714283,62.230357142857144,22.9,13.0,19.807142857142853,995.25,869.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
