,Year,Month,Day,DHI,DNI Max,DNI Min,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
702,2018,12,17,57.625,25,1,11.625,60.125,52.5,704.0,277.625,0.09999999999999999,0.9375,295.125,86.78125,2.1750000000000003,989.5
703,2018,12,18,47.333333333333336,916,191,703.4444444444445,259.8888888888889,44.44444444444444,740.4444444444445,266.55555555555554,0.17777777777777778,0.42222222222222217,314.77777777777777,65.57777777777777,-4.766666666666667,1000.0
704,2018,12,19,56.111111111111114,877,88,602.4444444444445,245.88888888888889,50.666666666666664,699.6666666666666,261.22222222222223,0.09999999999999999,0.911111111111111,268.77777777777777,71.18111111111111,-1.3222222222222222,1004.0
705,2018,12,20,72.44444444444444,850,11,424.55555555555554,207.66666666666666,46.22222222222222,687.1111111111111,254.0,0.1111111111111111,1.0,195.55555555555554,83.20444444444445,2.0999999999999996,1004.6666666666666
706,2018,12,21,35.0,42,3,17.0,39.333333333333336,36.333333333333336,436.6666666666667,132.33333333333334,0.20000000000000004,4.0,147.33333333333334,94.31666666666668,9.433333333333332,988.6666666666666
707,2018,12,22,77.85714285714286,435,4,72.57142857142857,106.14285714285714,63.0,724.4285714285714,301.7142857142857,0.24285714285714288,1.3714285714285714,289.85714285714283,77.79142857142858,2.957142857142857,983.2857142857143
708,2018,12,23,41.888888888888886,914,226,739.7777777777778,263.1111111111111,41.888888888888886,739.7777777777778,263.1111111111111,0.15555555555555556,0.5444444444444445,292.77777777777777,61.888888888888886,0.3222222222222222,1004.5555555555555
709,2018,12,24,81.875,189,1,74.75,103.375,78.125,506.125,236.125,0.09999999999999999,0.9500000000000001,245.125,83.67,1.375,1001.0
710,2018,12,25,40.55555555555556,942,158,751.8888888888889,269.0,40.666666666666664,763.7777777777778,270.1111111111111,0.16666666666666666,0.3222222222222222,307.8888888888889,57.145555555555546,-1.1555555555555557,1008.6666666666666
711,2018,12,26,64.125,874,1,556.875,245.625,50.875,720.625,280.875,0.11249999999999999,0.6000000000000001,284.875,65.3275,-1.5999999999999999,1014.5
712,2018,12,27,48.4,880,5,550.4,222.9,44.0,639.6,238.1,0.13,0.55,162.4,57.218999999999994,-1.8499999999999996,1021.2
713,2018,12,28,3.0,15,11,13.0,3.0,7.0,50.0,8.0,0.25,2.85,197.0,95.515,5.199999999999999,1003.0
714,2018,12,29,64.7,763,3,255.3,132.3,45.3,613.1,234.1,0.29999999999999993,0.8300000000000001,289.2,79.006,3.97,1000.0
715,2018,12,30,64.11111111111111,860,19,465.55555555555554,210.88888888888889,45.22222222222222,622.8888888888889,246.88888888888889,0.19999999999999998,0.7444444444444445,268.1111111111111,62.64444444444445,0.0,1007.4444444444445
716,2018,12,31,58.0,502,4,158.0,85.4,41.6,417.0,156.0,0.16,1.1400000000000001,191.4,84.43800000000002,1.16,1012.0
717,2019,1,1,75.22222222222223,178,3,52.111111111111114,90.44444444444444,46.888888888888886,612.6666666666666,246.55555555555554,0.3777777777777777,1.0333333333333334,295.22222222222223,86.87333333333333,4.133333333333334,993.8888888888889
718,2019,1,2,71.3,751,17,396.0,194.1,38.6,686.6,248.3,0.18000000000000002,0.4,281.5,50.142999999999994,-1.4999999999999998,1011.4
719,2019,1,3,75.7,752,7,299.7,170.9,48.9,608.9,240.6,0.24000000000000007,0.7400000000000001,290.4,83.65199999999999,1.97,997.4
720,2019,1,4,90.7,576,34,281.9,171.4,41.7,636.5,238.5,0.19000000000000003,1.2400000000000002,221.0,83.261,1.97,997.3
721,2019,1,5,53.666666666666664,21,3,10.0,57.0,40.333333333333336,527.3333333333334,219.33333333333334,0.20000000000000004,2.2666666666666666,177.66666666666666,94.24000000000001,2.0,986.0
722,2019,1,6,69.14285714285714,422,12,157.85714285714286,108.57142857142857,41.857142857142854,585.0,216.42857142857142,0.37142857142857144,0.6571428571428571,303.42857142857144,80.69142857142857,1.3714285714285714,998.0
723,2019,1,7,87.2,515,35,303.6,181.7,36.6,721.0,259.1,0.24000000000000005,0.36,288.3,56.233000000000004,-7.470000000000001,1015.6
724,2019,1,8,69.33333333333333,461,1,80.33333333333333,83.44444444444444,61.333333333333336,551.7777777777778,234.44444444444446,0.1888888888888889,1.2666666666666666,159.44444444444446,92.80111111111111,0.7888888888888889,999.1111111111111
725,2019,1,9,82.4,573,26,286.3,179.4,64.7,579.7,252.5,0.5399999999999999,1.05,282.1,90.30300000000001,1.67,981.6
726,2019,1,10,79.7,766,29,383.2,200.3,60.6,624.2,261.3,0.52,0.6799999999999999,304.1,77.847,-3.2600000000000002,989.0
727,2019,1,11,65.7,807,74,468.7,221.0,36.3,731.2,266.6,0.53,0.29999999999999993,300.1,66.718,-9.139999999999999,1006.4
728,2019,1,12,45.8,940,36,616.2,254.0,39.8,721.9,267.7,0.36999999999999994,0.37999999999999995,303.2,64.466,-8.11,1016.7
729,2019,1,13,42.6,955,36,648.5,263.1,40.0,730.1,272.2,0.27999999999999997,0.29999999999999993,167.7,67.448,-7.05,1015.2
730,2019,1,14,39.8,944,135,717.2,271.5,39.8,725.2,271.9,0.25999999999999995,0.39999999999999997,339.5,69.019,-5.24,1008.3
731,2019,1,15,89.1,490,34,337.3,201.8,48.7,669.8,267.6,0.28,0.6500000000000001,310.8,74.93299999999999,-3.3699999999999997,1004.6
732,2019,1,16,93.5,225,3,74.16666666666667,112.33333333333333,65.16666666666667,717.3333333333334,341.6666666666667,0.4666666666666666,0.6,255.83333333333334,74.22166666666666,-0.6333333333333332,999.3333333333334
733,2019,1,17,68.4,918,32,502.1,240.4,44.5,723.4,280.5,0.27999999999999997,0.43999999999999995,286.6,51.95,-5.96,1013.0
734,2019,1,18,73.14285714285714,69,1,24.428571428571427,79.57142857142857,59.42857142857143,532.2857142857143,232.71428571428572,0.31428571428571433,0.9714285714285715,186.0,82.04714285714286,-1.5000000000000002,1003.7142857142857
735,2019,1,19,77.5,76,1,30.25,85.5,48.5,602.25,223.75,0.325,0.85,29.25,64.0425,-5.15,1010.5
736,2019,1,20,26.333333333333332,595,6,268.0,68.0,30.333333333333332,326.0,74.33333333333333,0.6,1.4000000000000001,234.0,86.47000000000001,-9.1,982.3333333333334
737,2019,1,21,84.3,730,77,374.7,213.7,58.1,761.8,311.6,0.7799999999999999,0.19999999999999998,300.5,73.25399999999999,-20.43,998.2
738,2019,1,22,50.8,917,209,705.5,292.5,48.8,785.2,312.3,0.38,0.24,298.9,78.20200000000001,-12.629999999999999,1019.3
739,2019,1,23,100.0,547,14,193.9,180.5,68.1,622.6,288.3,0.5399999999999999,1.5899999999999999,200.7,88.71900000000001,-1.3299999999999996,1006.8
740,2019,1,24,118.88888888888889,138,1,47.22222222222222,136.55555555555554,67.88888888888889,606.8888888888889,291.8888888888889,0.7777777777777778,3.011111111111111,205.22222222222223,96.1811111111111,8.5,982.8888888888889
741,2019,1,25,93.9,739,28,301.4,193.8,56.7,714.9,303.9,0.59,0.47000000000000003,261.8,68.188,-0.1,998.0
742,2019,1,26,88.4,896,46,413.5,248.1,59.8,708.9,307.5,0.38999999999999996,0.48,253.0,62.05499999999999,-4.200000000000001,1008.0
743,2019,1,27,93.0,462,8,114.6,128.9,63.8,659.1,300.0,0.7,0.8699999999999999,176.5,80.90799999999999,1.1199999999999999,1000.6
744,2019,1,28,68.7,971,182,607.6,288.1,48.3,789.6,324.9,0.37,0.33999999999999997,232.2,58.201,-4.779999999999999,1004.1
745,2019,1,29,91.75,66,4,21.5,96.5,83.25,591.25,299.0,0.475,1.05,121.0,76.98250000000002,-6.324999999999999,1001.75
746,2019,1,30,64.3,981,177,702.1,330.0,66.5,752.3,340.7,0.59,0.29,253.5,67.159,-5.4,994.4
747,2019,1,31,63.3,947,263,735.9,339.0,66.7,791.1,351.1,0.6499999999999999,0.16999999999999998,257.6,61.561,-13.429999999999998,1008.6
748,2019,2,1,60.2,881,217,637.4,304.4,68.8,786.7,353.0,0.4800000000000001,0.24000000000000005,282.2,63.88199999999999,-10.580000000000002,1011.9
749,2019,2,2,94.2,673,146,429.6,259.3,62.4,743.9,338.3,0.58,0.9700000000000001,233.3,67.66499999999999,-5.6,1004.7
750,2019,2,3,125.7,602,3,297.8,233.2,101.4,596.0,330.9,0.29,1.1699999999999997,206.1,84.149,1.85,1005.2
751,2019,2,4,73.8,879,187,636.4,320.4,72.0,699.8,339.1,0.3499999999999999,1.5799999999999998,224.6,85.631,6.87,1002.8
752,2019,2,5,76.9,869,96,597.7,313.3,64.6,694.3,331.9,0.51,1.5399999999999998,264.6,85.06300000000002,9.389999999999999,999.1
753,2019,2,6,99.1,906,3,434.0,268.1,54.7,764.0,348.4,0.37999999999999995,1.08,111.0,67.756,2.67,1008.3
