,UMASS Amherst - Computer Science null,UMASS Amherst - Fine Arts Center null,UMASS Amherst - Recreation Center null,Day,Month,Year,Date,DHI,DNI Max,DNI Min,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
60,,,,,,,,87.45454545454545,918,3,631.9090909090909,419.45454545454544,80.72727272727273,741.9090909090909,447.54545454545456,0.16363636363636366,0.6623636363636364,183.54545454545453,39.14727272727273,0.6363636363636364,1010.0
61,,,,,,,,170.0,4,4,4.0,172.0,157.0,621.0,482.0,0.6,2.289,168.3,95.67,3.0,1010.0
62,,,,,,,,70.375,986,112,782.0,501.625,70.375,782.0,501.625,0.6125,0.670875,255.275,61.38500000000001,8.625,990.0
63,,,,,,,,72.66666666666667,950,223,732.75,431.91666666666674,70.33333333333333,748.25,437.83333333333326,0.9333333333333332,0.524,283.64166666666665,58.27250000000001,3.25,991.6666666666665
64,,,,,,,,184.5,652,12,225.7,268.8,157.6,680.1,511.6,0.49,0.5940000000000001,299.32,64.77900000000001,-0.2,990.0
65,,,,,,,,92.83333333333331,936,89,625.3333333333334,413.5,99.5,760.0,477.83333333333326,0.9083333333333332,0.2170833333333333,296.86666666666673,48.54833333333333,-9.75,1000.0
66,,,,,,,,79.25,978,291,773.1666666666665,463.58333333333326,93.0,780.25,482.25,0.7499999999999999,0.2300833333333333,298.0833333333333,47.06583333333333,-8.0,1000.0
67,,,,,,,,89.08333333333331,935,140,703.6666666666665,453.08333333333326,104.25,732.0,474.83333333333326,0.3333333333333333,0.4253333333333333,300.62500000000006,41.50000000000001,-3.4166666666666665,1010.0
68,,,,,,,,195.9090909090909,663,42,286.72727272727275,345.6363636363636,108.45454545454544,787.2727272727273,525.6363636363636,0.6545454545454544,0.4535454545454545,271.8727272727272,84.07181818181817,-6.727272727272728,980.0
69,,,,,,,,113.33333333333331,918,254,707.75,473.41666666666674,106.91666666666669,735.4166666666665,486.66666666666674,0.6583333333333333,0.5204166666666667,290.81666666666666,83.135,-4.666666666666667,990.0
70,,,,,,,,85.66666666666667,992,369,809.5833333333335,502.0,85.66666666666667,809.5833333333335,502.0,0.39166666666666666,0.4163333333333334,296.0750000000001,82.78666666666669,-1.8333333333333333,1000.0
71,,,,,,,,140.83333333333334,864,95,542.9166666666666,418.58333333333326,97.66666666666669,766.1666666666665,500.41666666666674,0.4083333333333334,0.5354166666666667,82.16666666666664,82.47666666666666,-0.9166666666666666,1000.0
72,,,,,,,,161.33333333333334,921,8,422.33333333333326,383.41666666666674,102.16666666666669,754.9166666666665,500.5,0.4083333333333334,0.6277499999999999,25.25,84.83749999999998,0.5,1000.0
73,,,,,,,,96.83333333333331,931,349,739.25,475.25,91.58333333333331,800.0,512.5,0.3,0.5993333333333334,277.1333333333334,72.88916666666667,2.75,1000.0
74,,,,,,,,168.5,791,137,420.0,393.33333333333326,149.33333333333334,633.5833333333334,493.41666666666674,0.3166666666666666,1.0842500000000002,292.60833333333335,77.23,6.25,990.0
75,,,,,,,,81.08333333333333,1038,483,859.4166666666665,534.9166666666666,81.58333333333333,870.0833333333335,541.9166666666666,0.8333333333333335,0.21075,318.51666666666665,44.92416666666666,-2.9166666666666665,998.3333333333335
76,,,,,,,,92.91666666666669,997,381,834.0833333333335,539.5,92.91666666666669,834.0833333333335,539.5,0.43333333333333335,0.2941666666666667,309.73333333333335,44.10833333333334,-1.1666666666666667,1010.0
77,,,,,,,,204.75,157,6,40.875,224.75,235.375,561.25,575.75,0.4,2.1176250000000003,198.3,82.19500000000002,2.25,1002.5
78,,,,,,,,174.125,75,1,19.75,183.875,256.125,475.375,536.125,0.2125,1.860875,189.7125,98.91875,2.25,1006.25
79,,,,,,,,224.11111111111111,405,9,111.77777777777777,268.8888888888889,174.88888888888889,686.5555555555555,586.8888888888888,0.3,1.7665555555555557,104.36666666666666,73.22888888888889,3.111111111111111,1010.0
80,,,,,,,,182.7142857142857,210,4,91.57142857142857,215.28571428571428,113.0,660.5714285714286,518.5714285714286,0.14285714285714285,2.2034285714285717,142.78571428571433,98.7757142857143,4.142857142857143,1000.0
81,,,,,,,,218.66666666666663,21,1,10.0,226.33333333333331,258.3333333333333,605.6666666666666,717.0,0.13333333333333333,2.6663333333333337,126.16666666666669,99.52666666666666,5.0,996.6666666666665
82,,,,,,,,234.2,663,31,308.2,406.3,105.8,794.1,590.3,0.37,0.7078,334.69999999999993,73.476,6.4,1000.0
83,,,,,,,,127.66666666666669,968,108,604.0833333333334,482.83333333333326,84.5,786.3333333333335,534.6666666666666,0.23333333333333334,0.6919166666666667,347.6833333333333,54.13333333333335,5.75,1000.0
84,,,,,,,,272.2,41,9,23.0,289.8,347.2,569.4,766.0,0.3,2.1032,113.86,92.118,1.8,1000.0
85,,,,,,,,269.44444444444446,225,2,93.0,332.3333333333333,148.66666666666666,799.8888888888888,662.4444444444445,0.30000000000000004,1.648,56.25555555555556,100.0,0.8888888888888888,990.0
86,,,,,,,,128.0,939,160,692.0,537.8333333333334,122.08333333333331,747.0833333333335,561.4166666666666,0.2166666666666667,0.9196666666666666,303.7583333333334,83.95666666666666,5.416666666666668,1000.0
87,,,,,,,,161.83333333333334,825,139,518.4166666666666,469.25,138.41666666666666,696.5,551.3333333333334,0.20000000000000004,1.5431666666666668,264.6666666666667,68.81916666666667,10.166666666666666,1000.0
88,,,,,,,,183.75,214,2,64.75,200.75,151.0,603.75,572.0,0.25,2.33475,78.35,99.915,3.5,985.0
89,,,,,,,,231.22222222222226,472,23,161.66666666666666,327.6666666666667,110.44444444444444,703.4444444444445,548.7777777777778,0.2,1.3515555555555556,279.43333333333334,86.59444444444445,7.4444444444444455,993.3333333333335
90,,,,,,,,143.0,15,1,5.666666666666668,145.33333333333334,263.3333333333333,457.66666666666674,591.6666666666666,0.3,2.611333333333333,88.23333333333332,98.19333333333331,3.6666666666666665,980.0
91,,,,,,,,202.0,376,25,131.0,259.0,93.85714285714286,672.1428571428571,456.1428571428572,0.2,1.3007142857142855,244.95714285714283,86.10285714285715,6.2857142857142865,971.4285714285713
92,,,,,,,,199.16666666666663,918,2,297.9166666666667,361.91666666666674,76.5,844.5833333333335,578.1666666666666,0.26666666666666666,0.7618333333333333,300.3333333333333,66.24666666666666,4.416666666666667,990.0
93,,,,,,,,81.53846153846153,945,89,742.8461538461537,525.4615384615385,81.53846153846153,742.8461538461537,525.4615384615385,0.16923076923076924,1.0396153846153846,276.75384615384615,60.719230769230755,10.923076923076923,1000.0
94,,,,,,,,172.84615384615384,852,41,455.5384615384616,445.0,104.46153846153848,653.5384615384615,505.07692307692315,0.13076923076923078,1.9194615384615383,200.9769230769231,72.92461538461538,15.461538461538463,1000.0
